input,domain_label,intent_label
"Repeating alarm please, Thursdays at 9am.",alarm,create alarm
remind me to call dad at 5pm,reminder,create reminder
call Kathleen number four,calling,create call
What's the protein content of a burger,recipes,get info recipes
Is there rain in the 10 day forecast?,weather,get weather
Please call A Holder,calling,create call
call Paul Rocha Cox,calling,create call
Whats going on in little chute,event,get event
Snooze alarm off,alarm,snooze alarm
Stop the timer and add 8 minutes to it.,timer,pause timer
Can you set me as unavailable?,calling,set unavailable
add my aunt Margene to this call,calling,update call
Make a call with my Community group on Hangouts,calling,create call
Switch to incoming call,calling,switch call
Please read me the latest news about Selena Gomez,news,get stories news
cancel all my scheduled alarms,alarm,delete alarm
Who lives in Cairo?,people,get contact
do I have a reminder set for 6pm?,reminder,get reminder
What year did Sue start at Devry?,people,get education time
set an alarm every 5 hours,alarm,create alarm
call up Elaina Baxter's father,calling,create call
remind me to take my pills tomorrow morning,reminder,create reminder
i want you to record a video message for amy since she is not available now,messaging,send message
Delete timer,timer,delete timer
Remind me to update my team about when customers will arrive next Monday.,reminder,create reminder
What do I need to buy for a butter cream frosting?,recipes,get info recipes
play hip hop songs,music,play music
what ingredients are in fried tofu taco,recipes,get info recipes
End Current call and switch calls,calling,switch call
"How warm is it in Pottstown, PA today",weather,get weather
What's the weather like in San Jose in February,weather,get weather
Please play Country love songs.,music,play music
call James via WeChat,calling,create call
What temperature should I bake potatoes at,recipes,get info recipes
How to cook salmon on the grill,recipes,get info recipes
Read the headlines on CNN?,news,get stories news
hey will you remind me to not get my mom a sweater for next christmas,reminder,create reminder
I want some new age music,music,play music
what is the best oven temperature for a pot roast,recipes,get info recipes
Play hip hop songs.,music,play music
Remind me to schedule B her yearly checkup on Monday.,reminder,create reminder
Call Nehemiah Trevor Peck now,calling,create call
Please call Ruby Callie Mclean,calling,create call
Set alarm to go off in ten minutes,alarm,create alarm
Ignore all calls from Beckam.,calling,ignore call
set sirius xm to stream music,music,set default provider music
i would like to message my parents text,messaging,send message
What is the weather in Seattle this morning,weather,get weather
I want to listen to 70s music,music,play music
play spotify playlists,music,play music
"I'm going tonight to the comedy hour, message my friends",messaging,send message
Is it cloudy,weather,get weather
"at 7 in the evening, what can I expect the weather to be like in Australia",weather,get weather
Set two alarms for tomorrow morning,alarm,create alarm
Can you tell me who is online?,calling,get availability
I need to wake up at 06:00 on Wednesday,alarm,create alarm
can i bake a potato,recipes,is true recipes
Will it rain tomorrow morning?,weather,get weather
do i have any missed video calls from today,calling,get call
Find a recipe for crab soup,recipes,get recipes
What is the weather like in Portland right now?,weather,get weather
Message Christie that the weekend movie will be her choice.,messaging,send message
"Set timer, please.",timer,create timer
What are the calories in a slice of pie,recipes,get info recipes
Any news about possible nuclear warfare breaking out,news,get stories news
Friends of Carol.,people,get contact
What will it be like in Yorkshire on Tuesday night?,weather,get weather
call Ariel Rosario call Finn Crawford with Whatsapp,calling,create call
Please don't pick up any incoming calls tonight.,calling,ignore call
What is the latest national political news headline?,news,get stories news
send it to Lia Gitelman,messaging,send message
Is Trump going to start a war,news,question news
mark me as interested for the fourth event,event,set rsvp interested
Only use apple as my music app,music,set default provider music
set a dinnertime alarm for 7 pm tomorrow,alarm,create alarm
i'm really busy right now,calling,set unavailable
Play the 90's hits playlist,music,play music
Can you check if Neil is online at the moment?,calling,get availability
What is going on in Burlington tonight,event,get event
recipes for dinner,recipes,get recipes
Tell me about ramon,people,get info contact
Let Sandra know that the fair starts on August 12th this year.,messaging,send message
Play music please,music,play music
How much sugar do I put in lemonade,recipes,get info recipes
resume the last timer please,timer,resume timer
I no longer have a hair appointment for Saturday night at 11 they cancelled the appointment please delete that reminder,reminder,delete reminder
Are there any traffic news,news,get stories news
Get my messages from the hiking club chat,messaging,send message
Sporting events in Memphis this Friday,event,get event
terminate call,calling,end call
Set the timer for 50 minutes,timer,create timer
What's the high next week?,weather,get weather
what temp do you  cook steak to,recipes,get info recipes
Remove the reminder to call the answering service.,reminder,delete reminder
Cancel all my reminders for Friday,reminder,delete reminder
What is the local news in Flagstaff Arizona,news,get stories news
do i have any reminders to work n my taxes?,reminder,get reminder
WHAT IS THE TOP NEWS STORY TODAY,news,get stories news
Please tell me who is online now.,calling,get availability
What's going on on Tuesday night,event,get event
degrees outside,weather,get weather
Can I listen to Sexy Back by Justin Timberlake?,music,play music
Remind me to shoot an email to Theresa  about the meeting tonight,reminder,create reminder
Make recurring alarms for Sundays at 10am and at 2:00pm,alarm,create alarm
Are there any concerts going on this weekend,event,get event
mute countdown,timer,pause timer
give me the latest news from Washington,news,get stories news
respond to my family with message,messaging,send message
Is Tina online now?,calling,get availability
skip forward two minutes,music,fast forward music
Set an alert for 20 minutes from now in case I fall asleep while working.,reminder,create reminder
remind me to workout at noon,reminder,create reminder
New alarm 8am,alarm,create alarm
Set alarm 9.30 AM,alarm,create alarm
play me some david lee roth,music,play music
Send a message to Louise and ask if I left my wallet in her car.,messaging,send message
How would be the weather like at 4 pm?,weather,get weather
any new animal news stories,news,get stories news
How hot is it tomorrow palo alto in degrees Celsius,weather,get weather
Delete my timers,timer,delete timer
delete that last timer and tell me what is still running,timer,delete timer
Set a timer in 10 minutes,timer,create timer
start a timer at 8am when i wake up,timer,create timer
open Spotify and play True,music,play music
Brief me on the latest American political news.,news,get stories news
What year did Carol get promoted to manager?,people,get life event time
Please read the details on the protests happening in Virginia right now,news,get stories news
what alarms are on right now?,alarm,get alarm
Give me the best Chic-fil-a mimic recipes,recipes,get recipes
Please read top 5 world news articles from todays date,news,get stories news
delete my old list,music,delete playlist music
What kind of event is Trash Party?,event,get category event
Turn it to the rap channel on Pandora,music,play music
Set alarm for 6 AM tomorrow,alarm,create alarm
Could you message Tom to see where he'll be next week?,messaging,send message
Remind me on Sunday about football game in August.,reminder,create reminder
How much snow will Milwaukee get?,weather,get weather
"What is the news for tulsa, oklahoma?",news,get stories news
Begin call with Desmond and Abby on Slack,calling,create call
Please remind me to refill Riley's medicines today,reminder,create reminder
Remind me that my doctor's appointment is tomorrow at 10 am.,reminder,create reminder
which family member is from Sacramento.,people,get contact
current time left,timer,get timer
Message Brain and tell him that the paperwork for the Smith house is needed.,messaging,send message
things to do in Orlando next week,event,get event
who is Anne's friend Louise,people,get info contact
How long will this heat wave last?,weather,get weather
"Send a message to Ricky and let him know the traffic lights are out Cleveland, so I'm not sure when I'll make it to work this morning.",messaging,send message
call Lonnie Hyacinth Cangemi 's uncle,calling,create call
Do I know anyone who went to WSU,people,get contact
will be hot Tuesday,weather,get weather
call Susan WhatsApp,calling,create call
Set reminder for 5pm.,reminder,create reminder
whats the weather at the beach,weather,get weather
set alarm for 6:30a and say wake up,alarm,create alarm
I need to stop the call,calling,end call
show me all reminders i have that include calli in them,reminder,get reminder
What is the ideal temperature to cook pork,recipes,get info recipes
Golf News headlines?,news,get stories news
locate and play on repeat simple man by jensen ackles,music,loop music
repeat Maniac by jhene Aiko,music,replay music
I want to add 10 minutes to the timer,timer,add time timer
Whats going on in Pensacola Saturday Night,event,get event
Play me The Yellow Submarine album please,music,play music
who works at forever 21,people,get contact
play justin bieber,music,play music
Who is currently working at the Directv in Boise?,people,get contact
What time is my next alarm set for,alarm,get alarm
call Eli C,calling,create call
how much snow is expected?,weather,get weather
is tuesday going to be sunny,weather,get weather
how many degrees is it in turkey right now,weather,get weather
will it snow in barstow today,weather,get weather
Send Shirley message to wait 10 minutes and we arrive soon,messaging,send message
Remember to call dad to remind him of Va appointment,reminder,create reminder
dont forget to call the tree removal guy and set up appt for sat,reminder,create reminder
I need you to send that video message via Facebook,messaging,send message
delete the reminder about my doctor appointment,reminder,delete reminder
please set alarm for 1 hour,alarm,create alarm
Call the group,calling,create call
does van greenwood still work at qsbc,people,get employer
how do i cook a turkey,recipes,get info recipes
tell me more about leanna,people,get info contact
Pull up my distance reminders for work for next week please,reminder,get reminder
Shuffle the channels.,music,start shuffle music
add Peyton,calling,update call
rsvp yes to the second event,event,set rsvp yes
please let me know the forecast for Perth tomorrow,weather,get weather
Which friends went to medical school?,people,get contact
Update my reminder that my nail appointment is at 2:00 instead of 1:00.,reminder,update reminder date time
Replay the song from the beginning,music,replay music
What did Hilary Clinton do today in the news,news,get stories news
Play Panic! At The Disco please,music,play music
does hanna still live in charleston,people,get location
set timer to 30 seconds,timer,create timer
cancel all my timers,timer,delete timer
show me the reminder of the location and date for the concert,reminder,get reminder
List all of my grocery store reminders for this coming week.,reminder,get reminder
Please set alarm for tomorrow at 6 a.m.,alarm,create alarm
Include Dad to call,calling,update call
Remind me to order a gift for Brad by Friday,reminder,create reminder
How many of my friends graduated from UWP?,people,get contact
how do I make homemade ice cream,recipes,get recipes
delete the reminder for tonight's baseball game. it's raining.,reminder,delete reminder
Cancel all my alarms for,alarm,delete alarm
would you text Janice and Professor Snape,messaging,send message
What is the temperature for a chicken to be cooked,recipes,get info recipes
Who is Mark's friend Henry,people,get contact
Movies this weekend in Erie,event,get event
message a video to Scarlett,messaging,send message
read the recent news headlines for CT,news,get stories news
How long should I cook pork for pulled pork,recipes,get info recipes
Send message via Messenger,messaging,send message
What can I go do,event,get event
what are the news headlines,news,get stories news
Taylor's dad is who?,people,get contact
Did any of my friends graduate from OU?,people,get contact
Do I know somebody living in Hawaii,people,get contact
What album is this?,music,get track info music
Remind me to make something for our bookclub by next Saturday at 6 p.m.,reminder,create reminder
Who works at Mansoura university,people,get contact
What to do in Honolulu Friday night,event,get event
please send my siblings,messaging,send message
What is the latest news on the plane hijack?,news,get stories news
how cold can it get in Rapid City in winter,weather,get weather
How do I pan-fry a medium rare steak,recipes,get info recipes
try to call Angelica Shelby,calling,create call
What ingredients do I need for chicken and mushrooms?,recipes,get info recipes
Theater shows in New York this Monday,event,get event
message Austin to pick up eggs and milk,messaging,send message
Set alarm for one hour before party,alarm,create alarm
Add nephew to the call,calling,update call
Can you tell me the weather for Christmas in Hawaii?,weather,get weather
Delete the reminders for the Cycling group for this weekend and next weekend.,reminder,delete reminder
Should I send my son to school in a jacket?,weather,get weather
Make my alarm ring at 7am Wednesday and Friday,alarm,create alarm
Call Popa,calling,create call
do you know who's number this is calling me?,calling,get call contact
Please show available contacts,calling,get availability
create Face mask timer,timer,create timer
start call to my daughters now,calling,create call
Switch my reminder about the washing from today to tomorrow.,reminder,update reminder date time
Get me up Monday Morning at 5am,alarm,create alarm
Top 4 news stories in the US,news,get stories news
Delete the reminder to pick up the kids tomorrow.,reminder,delete reminder
Remind me to order Ellie's school supplies this week.,reminder,create reminder
play kendrick lamar,music,play music
Remind me on October 5th to make hotel reservations for the trip.,reminder,create reminder
any concerts in new york tomorrow,event,get event
remind me to put passports in my wallet,reminder,create reminder
Tell me how to make gooey brownies,recipes,get recipes
remind me to call mom tonight,reminder,create reminder
"Play Depeche Mode, Black Celebration",music,play music
Tell me how the weather is tomorrow,weather,get weather
Set a new alarm for 20 minutes please,alarm,create alarm
read the world news.,news,get stories news
What is John's new home address?,people,get location
set timer for 30min,timer,create timer
Make my alarm go off at 5am on the 19th,alarm,create alarm
Message carol and ask her where exactly i should meet her for coffee in three days,messaging,send message
Start the timer again.,timer,create timer
will you remind me to pick up Jenny the newspaper on monday,reminder,create reminder
remind me to check my gmail account at 4 pm Eastern time please,reminder,create reminder
Set a reminder to pack for our beach trip on Friday,reminder,create reminder
How many of my friends live in Boise?,people,get contact
remind me to call the doctors office when they open after lunch at 1pm,reminder,create reminder
please end call,calling,end call
Whats going on tomorrow night,event,get event
include dad to the call,calling,update call
Change my status to interested for the third event,event,set rsvp interested
What's next week weather in Vegas,weather,get weather
Create a new reminder for tomorrow.,reminder,create reminder
Set reminder for 5pm Sunday,reminder,create reminder
text talk to you later to Jack and Robert,messaging,send message
video messaging please record a video for Kelsey with directions,messaging,send message
play Sam Feldt on google play music,music,play music
create one timer for 60 seconds and a second for 17 minutes,timer,create timer
Is it supposed to rain tomorrow?,weather,get weather
video call with Business,calling,create call
FIND A GOOD RECIPE FOR BROWNIES,recipes,get recipes
how long should a 3 pound tritip roast,recipes,get info recipes
any new local news?,news,get stories news
What is left on my current timer,timer,get timer
Did I remember to video call John today?,calling,get call
What't going on tomorrow,event,get event
Did Lynn text me this week?,messaging,get message
Anything cool happening next weekend in Chicago,event,get event
Give me vegan recipes,recipes,get recipes
message Rebecca that Washingon High School's first play of the year will be on September 30th,messaging,send message
Things to do in Santa Cruz on Saturday,event,get event
Play my latest playlist.,music,play music
is there anything fun going on tonight,event,get event
reduce timer by 1 minute,timer,subtract time timer
play new songs from Kiss,music,play music
Can I hear the acoustic version of this song?,music,play music
Tell me about Laura Karlson,people,get info contact
Can you change the alert time on that reminder from 7 to 9?,reminder,update reminder date time
Is it hot in Miami Florida right now?,weather,get weather
how do you cook pork ribs,recipes,get info recipes
I want to go to to Candidates Forum,event,set rsvp yes
Give me an extra 30 seconds on my timer,timer,add time timer
Is there anything going on in local news?,news,get stories news
show me events I'm invited to,event,get event
should I be concerned about this area flooding over the next few days?,weather,get weather
Change my availability as busy,calling,set unavailable
take time from my timer,timer,subtract time timer
call Kevin Potter from my Whatsapp contacts,calling,create call
which one of my friends lives in pensacola,people,get contact
Set timer for a minute,timer,create timer
weather on 12/15/2017,weather,get weather
What's the latest news updates,news,get stories news
Phone Nathan from my contacts,calling,create call
can you set a timer named software update,timer,create timer
How humid is it in Jakarta now,weather,get weather
What's a basic recipe for chicken Marsala,recipes,get recipes
Will I need to bring a jacket?,weather,get weather
Can Donald Trump be impeached?,news,question news
What do I put in Texas tacos,recipes,get info recipes
call Ryann Small and Callie Mclean,calling,create call
can you record a video message for Hermina Ike Corrga please,messaging,send message
Tell me when the state fair reminder is set for.,reminder,get reminder date time
What do I add to lasagna,recipes,get info recipes
I want to set a get ready for bed alarm at 10pm,alarm,create alarm
did jen work at lincoln school 2 years ago?,people,get employment time
restart my timer in 3 mins,timer,restart timer
put in a reminder to meet my mother on eastern parkway this Thursday.,reminder,create reminder
set my availability to offline,calling,set unavailable
Is it going to be above 69 in F new york,weather,get weather
set a lunch time alarm for noon,alarm,create alarm
Concerts in Raleigh this weekend,event,get event
Move the reminder about float decorating from tonight to next Sunday,reminder,update reminder date time
Will there be hail tomorrow?,weather,get weather
What's the headline news in Spain?,news,get stories news
Anything to do tonight,event,get event
Can you tell me who works at Best Buy?,people,get contact
"start a call with Hayden Greene, Danielle Kelly, Mary Brewer and Pamela Contreras on Hangouts",calling,create call
"Who has a birthday on May 5th, 1941?",people,get contact
End my current call and switch,calling,switch call
find a wheat bread recipe,recipes,get recipes
What is going to happen in Miami this weekend,event,get event
Play cardio playlist,music,play music
tell me about Aaron.,people,get info contact
Where is the reminder for the Christmas party that is next month?,reminder,get reminder location
I need to cook dinner early tomorrow. Can you remind me at 4 pm?,reminder,create reminder
please play Hilary Duff old music,music,play music
Restart my timer please,timer,restart timer
start playing Frank & Back To Black,music,play music
Set up a reminder to wash clothes.,reminder,create reminder
Where was Melania Trump born?,people,get location
Start playing Nicki Minaj's latest album,music,play music
Add Curtis to this current call.,calling,update call
create a biweekly alarm for Monday at 9pm,alarm,create alarm
not going to Po' Boy Pop-Up,event,set rsvp no
Make alarm for every monday at 10am,alarm,create alarm
Cancel reminder to watch Insecure Sunday,reminder,delete reminder
What are today's national headlines?,news,get stories news
Set me an alarm.,alarm,create alarm
Do I have much time left on the timer,timer,get timer
Reach out to RIchard,calling,create call
Take Manuel off this call please,calling,update call
what's the weather fixing to be at nine,weather,get weather
Please send the message 'Happy Birthday' to Jeanie,messaging,send message
set my status to leave a message,calling,set unavailable
read me the headlining news for today,news,get stories news
Give me information about Ahmed?,people,get info contact
Please set my timer for 55 minutes,timer,create timer
Does anyone on my friends list have a December 8 birthday,people,get contact
get me texts from my grandfather,messaging,get message
Please give me a weather update for 3pm,weather,get weather
ask matt if he remembers our first date,messaging,send message
I would like to send the WhatsApp message,messaging,send message
Start a video chat with Dean and Hilton,calling,create call
Share Paws to Party with Kira,event,share event
What should the internal temperature of fish be,recipes,get info recipes
is there any news about the election,news,get stories news
Are there any concerts in Tulsa tonight,event,get event
switch call to full screen,calling,update method call
What is the artist is this,music,get track info music
are there any concerts in Tampa on the 8th of December,event,get event
Keep this song on repeat until I tell you to stop.,music,loop music
call Valeria Walter call Madden Leonard in Whatsapp,calling,create call
Pause song,music,pause music
can you eat raw chicken,recipes,is true recipes
What volleyball games are going on this weekend in St. Louis,event,get event
Set alarm for 4pm tomorrow.,alarm,create alarm
Are any of my friends going to Tacocat?,event,get attendee event
Video message to Christopher.,messaging,send message
read me USA today headlines,news,get stories news
Music events before 8pm this weekend,event,get event
Any recent news about Obama?,news,get stories news
Stop the call now,calling,end call
Hey bot what the weather going to be like in Manchester,weather,get weather
ask the nanny to bring Sophie,messaging,send message
Could you connect me to the Coffee Lovers group,calling,create call
How long does it take to cook banana bread,recipes,get info recipes
Can you play Sabotage by Beastie Boys?,music,play music
is monica still working at target?,people,get employer
what artist is this?,music,get track info music
Set another timer for 10 minutes,timer,create timer
create alarm for 6h35,alarm,create alarm
Turn off alarms,alarm,silence alarm
Are any of my family online?,calling,get availability
Set up a reminder to pay tuition tonight.,reminder,create reminder
Delete my cooking reminder.,reminder,delete reminder
call Emily Frazier Sims,calling,create call
How much left on the timer,timer,get timer
Snooze the alarm please,alarm,snooze alarm
is mike available today,calling,get availability
"call Daisy Clemons, Isiah King, Brody Oneil, and Kiley Joyce on Whatsapp",calling,create call
What's my time,timer,get timer
Delete the reminders I have set for Saturday after noon.,reminder,delete reminder
set an alarm for 9 tonight,alarm,create alarm
Any recent news about terrorists?,news,get stories news
will it be hot today?,weather,get weather
It was so hot that I could not take more than 10 minutes outside,weather,get weather
I want to hear some Elton John,music,play music
Read the front page of the Wall Street Journal,news,get stories news
call Troy call Evan using Whatsapp,calling,create call
Play Nirvana's Nevermind.,music,play music
Remind me to buy garlic today at 5 pm.,reminder,create reminder
national headlines,news,get stories news
make an alarm for 430h,alarm,create alarm
What reminders do i have for Tuesday night?,reminder,get reminder
remind me to change the filter in the ac in april,reminder,create reminder
I need a great vegan side dish,recipes,get recipes
please dial Caden Carter right away,calling,create call
Ring my dad.,calling,create call
Every day my alarm is set for what time?,alarm,get alarm
Please list all the reminders for the next week.,reminder,get reminder
Can you read me new messages?,messaging,get message
Let me see Adam's friends.,people,get contact
What's happening in Chicago this weekend,event,get event
delete all old timers,timer,delete timer
Show me who is online now.,calling,get availability
Create me an alarm for tomorrow afternoon.,alarm,create alarm
Change to a different playlist please,music,play music
play me the Beatles on Pandora,music,play music
What are the recent headlines in Broward County?,news,get stories news
Ingredients and directions for preparing and cooking chicken and dumplings please,recipes,get info recipes
what is the humidity level today?,weather,get weather
what's the forecast?,weather,get weather
Who is employed at Arby's?,people,get contact
who graduated from southern,people,get contact
Create an alert for 8am to check work e-mails.,reminder,create reminder
Make alarms for later today at 11 and 11.05pm.,alarm,create alarm
Should I take gloves?,weather,get weather
Is the weather in dallas going to be bad?,weather,get weather
Begin playing Spotify,music,play music
Has the drama nerds chat messaged me in the past few days,messaging,get message
play the album Ladies And Gentlemen... The Best Of George Michael on iheartradio,music,play music
open my dinner time playlist,music,play music
I can talk,calling,set available
Call Mary M Welch now,calling,create call
Is Phil's current employer state of Washington,people,get employer
start timer please,timer,create timer
engage alarm,alarm,create alarm
Did Lua message me yesterday?,messaging,get message
"message Jose, Beth and Damien something that says sounds good",messaging,send message
What is the weather in Dubai?,weather,get weather
read me the headlines for today,news,get stories news
Are there any new stories about global warming?,news,get stories news
I need a new alarm for this afternoon.,alarm,create alarm
who works at the counter,people,get contact
Is it around 86 in celcius near Manila tomorrow morning,weather,get weather
what is the proper temperature to cook chicken to,recipes,get info recipes
What is the average temperature for the New England states in June?,weather,get weather
What are my reminders for Monday?,reminder,get reminder
set timer for 56 minutes,timer,create timer
Remind me to pay the electric bill on Sunday,reminder,create reminder
turn on the timer in two minutes,timer,create timer
Remind to buy eggs tomorrow,reminder,create reminder
Can you set a reminder for an hour before my test this Tuesday?,reminder,create reminder
what can i do tomorrow,event,get event
call Gunner Burns on video in Whatsapp,calling,create call
create a reminder to call my mom for her birthday,reminder,create reminder
How do you cook artichokes,recipes,get info recipes
Is it going to snow on Friday?,weather,get weather
mark me as interested for this event,event,set rsvp interested
can you please send message to Jeanne and Leo,messaging,send message
"i would like to message that video to Terry, Jacqueline, and Mark",messaging,send message
call Oliver my dad,calling,create call
Turn off my alarm please.,alarm,silence alarm
fine me similar tracks,music,play music
Any news I should know about?,news,get stories news
Who works at the movie theater?,people,get contact
please send John a Messenger video message,messaging,send message
how many calories in a calzone,recipes,get info recipes
Send message to Tami and tell her to meet us at  the Broncos stadium section B.,messaging,send message
Please record a video message for kid,messaging,send message
How cold is it going to get this week?,weather,get weather
Ask mom if we are still on for the movies?,messaging,send message
recurring alarm for 6 am please,alarm,create alarm
pull up recently viewed stories,news,get stories news
Message Jill she can bring her boyfriend to help if he's free,messaging,send message
set an alarm for 1525h,alarm,create alarm
play ed sheeran new album,music,play music
how hot is it outside?,weather,get weather
Remove 10 minutes from timer.,timer,subtract time timer
Delete my repeating alarm on the 1st of every month,alarm,delete alarm
set an alarm for 1 weekends,alarm,create alarm
Any things to do in Bay ridge tonight,event,get event
can i play the last song again,music,previous track music
call Letitia Lombrana 's father,calling,create call
Snooze this alarm for another hour.,alarm,snooze alarm
Display a list of the reminders to walk the neighbor's dog.,reminder,get reminder
Recipe for chocolate chip cookies,recipes,get recipes
Telephone stepbrother,calling,create call
can you pick up dane Madison's call,calling,answer call
i want to call Betty B Arroyo,calling,create call
What the weather in Australia like,weather,get weather
Would you send text to Giles via Messenger,messaging,send message
Please describe the weather,weather,get weather
play the album Hitstory on iheartradio,music,play music
Please modify reminder of  my boss's  vacation that was to start next week to next month on the 12th,reminder,update reminder date time
play Save Tonight by will.i.am,music,play music
what are the elections details,news,get stories news
Add Mom to call,calling,update call
whats the news with north korea,news,get stories news
what are some ideas for kids lunches,recipes,get recipes
What temperature is a medium rare steak,recipes,get info recipes
I want to video call my Asian Professionals group,calling,create call
How long has Will worked for Boeing,people,get employment time
What is the latest news on the white supremacist protest,news,get stories news
Read me the headlines from yesterdays news please,news,get stories news
today's breaking news,news,get stories news
Remind me to change the credit card number on my gym membership.,reminder,create reminder
please make a lunch time alarm for 12pm tomorrow,alarm,create alarm
Could you tell me the weather in Paris?,weather,get weather
remind me to buy a gift tomorrow,reminder,create reminder
please play me hard rock music,music,play music
Remind me to get a birthday present before John's birthday,reminder,create reminder
What are the top stories in local news today,news,get stories news
Make a call to Cindie.,calling,create call
What is the best way to cook fish,recipes,get recipes
Remind me to call the dentist tomorrow morning at 930.,reminder,create reminder
set a reminder to cancel the vet appointment for the cat,reminder,create reminder
Please message Cricket and tell her Happy Birthday.,messaging,send message
End call with grandson,calling,end call
Set a new reminder for 11:30 am.,reminder,create reminder
"Get my text messages from Daniel, Steve and Kevin Gershwin",messaging,get message
"Ocean Waves, Thunderstorm And Relaxing, Healing Music on pandora please",music,play music
call Wesley through whatsapp,calling,create call
I want to pull up all of the reminders labeled Micheala,reminder,get reminder
Remind me to buy baby shower gift on Monday at 6pm,reminder,create reminder
I need a cupcake recipe,recipes,get recipes
please send Stephen on Facebook that are you free,messaging,send message
play the album True on iheartradio,music,play music
I need the weather for Shipston on Stour,weather,get weather
Remind me to cancel my eye appointment and reschedule,reminder,create reminder
all James friends,people,get contact
Weather tempreture at 11.30pm.,weather,get weather
make for me an alarm for 21 minutes from now,alarm,create alarm
I need a vegetarian lasagna recipe,recipes,get recipes
Whats the name of this song,music,get track info music
Give me a five minute timer.,timer,create timer
tell me who's on facebook,calling,get availability
Set alarm for 3:30 am tomorrow morning.,alarm,create alarm
remind me to call work in an hour,reminder,create reminder
make one timer for two and three quarters hours and a second for 15 minutes and a third for one and a quarter hours,timer,create timer
ask Lynn if she can look into getting tickets for the Burgerbash event at the Golden Nugget next month,messaging,send message
SET TIMER TO 1 MINUTE.,timer,create timer
remind me to look into a colonoscopy to see when i would need one,reminder,create reminder
What temp is the best for cooking a roast,recipes,get info recipes
what was the name of the last song,music,get track info music
end timer,timer,delete timer
When is it supposed to start raining tomorrow,weather,get weather
add my father to the call,calling,update call
News headlines for today,news,get stories news
Play me a video game soundtrack.,music,play music
How to make a cheesecake,recipes,get recipes
remind me to adjust temperate in 15 minutes,reminder,create reminder
I want simple vegan recipes,recipes,get recipes
send Duane Reade the WhatsApp text,messaging,send message
whose birthday reminders are this month,reminder,get reminder
remove 1 hour from my timer,timer,subtract time timer
Stop my timer two minutes early please,timer,update timer
can you turn off repeat all music,music,repeat all off music
play some rock music,music,play music
Play Lecrae's new album.,music,play music
call Whatsapp Zander Reyes,calling,create call
Set alarms for 7am and 7:30am tomorrow.,alarm,create alarm
Is the weather going to be any good in Vegas on the 16th?,weather,get weather
Whats happening in Dallas tonight,event,get event
Whats going on in the news today,news,get stories news
remind me to transfer money from bank one to capital one before the electric bill is due on the 12th,reminder,create reminder
Add 30 more minutes to my timer,timer,add time timer
Delete my reminder for tomorrow's dinner.,reminder,delete reminder
Delete the reminder for dinner on Saturday with Rob,reminder,delete reminder
What are the most recent news headlines?,news,get stories news
will it rain in hilo today?,weather,get weather
Have Vincent Roberts taken off the group call,calling,update call
set a timer for my pot roast,timer,create timer
send a video message to Kimberly Paul Hendrix,messaging,send message
Remind me to pick up tickets to my concert tonight at 5pm,reminder,create reminder
set up Messenger as my default for making calls,calling,set default provider calling
Move our reminder about Aunt Thelma's birthday to next Monday.,reminder,update reminder date time
Set baby alert for 3 times a day,alarm,create alarm
Play my relaxing songs,music,play music
Anyone with a degree from FAMU,people,get contact
What sort of weather will be happening in Thailand during July?,weather,get weather
I want to end the timer,timer,delete timer
Set my alarm for 10 am.,alarm,create alarm
Should I bring a hat,weather,get weather
What is the address of Linda's work?,people,get location
Play Close To Me by Tory Lanez,music,play music
Show busy status,calling,set unavailable
Bring up weather for Alice springs please,weather,get weather
How warm is it for Palo Alto tomorrow morning in degree fahrenheit,weather,get weather
remind me to advise sarah i will be attending her party on tuesday at 8:00,reminder,create reminder
change timer  to 5 minutes,timer,update timer
Set alarm for 4:35 am Sunday,alarm,create alarm
Make an alarm for 3pm on June 7,alarm,create alarm
I want to do something tonight,event,get event
set reminder for my wife birthday,reminder,create reminder
I might want to go to the second event,event,set rsvp interested
Change the time on the reminder for picking up Jason from 4pm to 6pm on Tuesday,reminder,update reminder date time
Setting my availability as available,calling,set available
create an Egg timer for 22 minutes,timer,create timer
Set a reminder for 2 hours and 50 minutes from now.,reminder,create reminder
What's on the news headlines?,news,get stories news
How hot will it be this weekend in Toronto,weather,get weather
call Jordyn Golden call Carter Pope using Whatsapp,calling,create call
Text Thompson and tell him I can meet at 5.,messaging,send message
Whats up in LA this week,event,get event
can you pause my spotify,music,pause music
Call family group,calling,create call
what's the latest world news?,news,get stories news
Do not answer the call from Lois,calling,ignore call
What's on Channel 2 News,news,get stories news
Create a video message  for Malika.,messaging,send message
Set chill alarm now,alarm,create alarm
Who works at Popeye's?,people,get contact
Did anyone of my friends graduate from UCLA,people,get contact
Tell me about the latest hurricane news about the Atlantic Ocean,news,get stories news
What is the surf advisory?,weather,get weather
respond to Dylan with a video,messaging,send message
"Hang up on the current caller, I don't want to answer",calling,end call
i want to hear some Kanye West,music,play music
Set doctor vist alarm on 1st of every month.,alarm,create alarm
I'd like to know crime news in my area.,news,get stories news
Cancel this alarm.,alarm,delete alarm
Recent stories on accidents in Livonia,news,get stories news
Breaking news in europe right now,news,get stories news
give me local news update?,news,get stories news
jared kushner russian news,news,get stories news
Change the call to video.,calling,update method call
Play old time gospel,music,play music
What's happening in new mexico this weekend,event,get event
What’s the weather in Auckland?,weather,get weather
Can it ever be too cold to snow,weather,get weather
I have returned,calling,set available
